Object	DM1	DM10	DM11	DM12	DM13	DM14	DM15	DM16	DM17	DM2	DM3	DM4	DM5	DM6	DM7	DM8	DM9	SN1	SN10	SN2	SN3	SN4	SN5	SN6	SN7	SN8	SN9							
IPI:IPI00019591	392	234	113	198	101	348	445	342	475	643	338	407	391	282	105	353	541	345	614	411	650	496	452	86	311	376	610							
IPI:IPI00426056	1114	362	484	743	352	525	109	141	115	285	177	128	216	513	423	409	517	652	205	411	309	583	200	276	256	156	266							
IPI:IPI00433678	1115	362	483	743	352	522	109	141	115	285	177	128	216	511	423	407	517	652	205	411	309	584	200	274	255	161	263							
IPI:IPI00446534	1117	362	483	743	352	522	109	141	115	285	177	128	216	511	423	407	518	652	205	411	310	584	200	274	254	154	263							
IPI:IPI00439491	1114	362	483	743	354	522	109	141	115	285	177	128	216	511	423	407	517	652	205	411	309	583	200	274	254	156	263							
IPI:IPI00294193	316	283	131	404	206	417	223	246	244	595	375	457	533	472	284	419	443	379	400	469	624	395	208	135	289	273	390							
IPI:IPI00218192	315	283	131	405	206	417	224	246	245	594	374	456	530	472	283	417	441	379	398	468	626	398	208	135	285	272	391							
IPI:IPI00025426	382	310	382	478	291	441	130	155	150	350	153	400	294	227	195	259	746	515	539	379	440	436	218	197	376	377	328							
IPI:IPI00414283	280	780	99	303	223	322	115	161	400	455	194	176	269	196	440	169	187	302	510	530	381	311	56	243	390	512	745							
IPI:IPI00470919	280	778	97	298	220	320	113	161	394	455	190	175	269	191	436	167	182	298	507	520	379	305	56	233	384	506	739							
IPI:IPI00339228	277	774	93	293	218	316	113	159	393	448	194	174	262	192	430	167	187	298	504	525	377	307	53	239	389	511	734							
IPI:IPI00479723	278	770	93	292	220	318	111	157	391	447	192	172	262	195	429	169	187	297	503	520	379	306	53	238	387	507	732							
IPI:IPI00384952	955	310	291	613	290	438	98	120	77	256	142	108	186	436	368	336	442	583	142	357	238	486	136	213	208	124	216							
IPI:IPI00556148	209	219	319	394	186	254	160	222	249	279	154	279	349	277	196	276	314	345	368	367	492	323	173	216	339	302	404							
IPI:IPI00019580	241	158	205	273	148	254	194	209	210	310	168	282	338	214	139	290	262	336	429	287	397	308	116	230	406	354	333							
IPI:IPI00022420	129	181	166	224	56	263	232	218	359	195	198	335	371	221	119	184	136	400	341	413	163	338	361	389	522	282	216							
IPI:IPI00032179	179	148	120	270	124	183	301	271	303	427	144	331	282	115	171	247	166	235	470	345	210	253	33	182	329	369	448							
IPI:IPI00423461	525	291	235	505	247	414	68	98	79	221	102	85	138	358	286	301	429	411	100	289	205	344	105	140	176	297	97							
IPI:IPI00477597	57	168	253	203	171	179	185	243	177	168	141	126	321	147	87	144	326	293	266	121	270	229	741	343	358	181	282							
IPI:IPI00022895	246	181	170	216	109	219	117	178	236	225	149	169	194	175	109	157	209	320	331	327	276	269	300	156	295	248	258							
IPI:IPI00022429	225	147	196	178	164	143	135	151	244	183	134	187	242	336	154	170	192	319	214	302	181	151	568	174	239	272	161							
IPI:IPI00296170	53	157	246	198	164	170	167	230	148	160	133	119	313	143	78	138	317	278	252	111	205	172	657	338	351	174	249							
IPI:IPI00305461	115	165	142	349	87	232	107	92	243	328	240	219	266	183	133	179	153	249	202	315	337	253	168	72	185	199	264							
IPI:IPI00021727	129	128	151	175	87	166	117	103	154	198	152	276	245	223	88	208	191	166	250	236	306	196	122	113	151	168	269							
IPI:IPI00019568	183	161	147	165	108	182	127	129	141	149	145	140	165	144	127	153	150	215	202	194	213	185	181	172	227	229	195							
IPI:IPI00218816	129	239	147	203	56	147	122	145	123	271	79	44	52	108	164	48	112	114	438	76	231	330	204	132	290	261	215							
IPI:IPI00032220	119	125	154	172	120	187	119	102	171	251	163	219	232	171	124	170	123	133	277	107	197	135	72	78	153	145	138							
